순번,연구개발사업한글명,연구개발사업시작일자,연구개발사업종료일자,연구개발사업구분코드,과제단계코드,주관기관명,발주기관명,연구개발사업한글키워드값,연구개발사업영문키워드값,연구개발사업개요내용,연구개발사업영문명,연구개발사업관리기관명
332,환경 및 폐기물의 효율적 처리방안 연구,2004-09-01,2006-08-30,민군겸용기술개발,시험개발,한화석유화학(주) 중앙연구소,국방과학연구소,화합물;고독성,PCB;TNT;RDX,"ㅇ 군에서 액체폭약으로 사용되고 있는 nitromethane에 대한 최적 분해조건을 도출하였다. 실험실에서 도출된 최적 분해조건을 기 건설한 pilot plant에서 검증 완료하였으며, nitromethane을 대상으로 건설된 pilot plant의 성능검사를 수행 하였다. 성능검사는 24hr 연속운전으로 실시하였고 만족할만한 결과를 도출하였다.ㅇ 화학작용제 가수분해물 2종에 대한 분해실험을 실시하였다. 화학작용제를 가수 분해하여 발생되는 유기물 성분과 부식유발 물질에 대한 유기물 분해 및 부식 최소화 조건을 실험실 규모에서 도출하고 이를 pilot plant에서 검증하였다.ㅇ Pyrotechnics 2종에 대한 분해실험을 수행하였다. Pyrotechnics는 유기물 분해 보다는 다량의 부식성분을 함유하고 있기때문에 초임계수 산화기술을 적용하기에 문제점이 있음을 확인하였고, 이는 초임계수 산화기술보다는 다른 분야의 기술을 적용하는 것이 바람직한 것으로 판단되었다.ㅇ 민수분야의 상업화를 목적으로 TDI 폐기물의 가수분해 연구를 실험실 규모의 설비와 준공된 Pilot Plant에서 진행하였다. 실험실 규모에서의 최적화 실험결과 를 Pilot Plant에 적용하였으며 이를 토대로 Pilot Plant에서도 최적화 실험을 진행하였다. 또한 실제 상업화 공정을 수주하기 위한 상용공정 설계를 완료하였다.ㅇ TPA 제조공정에서 발생하는 슬러리 폐수에 대한 분해실험 및 상용공정 적용을 위한 실험을 진행하였다. 본 연구는 폐수처리와 더불어 버려지는 촉매를 회수하여 폐기물 처리뿐만아니라 부가가치를 창출하여 상용화 시킬 수 있었으며, TPA 제조사에 기본설계 기술을 판매하는 성과를 거두었다.",A Study of Efficient Treatment Methods for Environment and Wastes,국방과학연구소
333,후박막 공정을 이용한 저자가방전 초소형 전지 개발,2006-10-02,2008-09-30,민군겸용기술개발,시험개발,(주)누리셀,국방과학연구소,후박막;나노테크놀러지;고출력;저자가방전 초소형 전지,thin/thick film;nano technology;low self discharge battery,"ㅇ 공정기술개발   - Mica 기판을 이용한 전지성능개선   - 대형 타겟을 이용한 박막고속증착   - 연속공정시스템 제작 및 전지양산시스템 설계   - 다층막 형성 공정조건의 최적화ㅇ 민수용 초소형 박막전지   - 제품응용을 위한 내구성 평가   - 성능 및 안정성평가를 통한 품질인증ㅇ 군수용 초소형 박막전지   - 병렬적층 및 열지적용을 통한 저온성능 확보   - 열적 활성화 스위칭 메커니즘 구현   - 온도, 내환경, 발사시험을 통한 체계적용성 확보",Development of low self discharge battery using the thin/thick film processes,국방과학연구소
334,환경친화성 방독면 활성탄의 제조기술 개발,2009-01-01,2011-02-14,민군겸용기술개발,응용연구,한국표준과학연구원,국방과학연구소,환경친화성;방독면;활성탄;제조기술,Eco-friendly;gas mask;Activated Carbon;Manufacturing Technique,"ㅇ 금속(Cu, Zn, Ag, Mo) 및 TEDA 함침 활성탄 제조기술 개발ㅇ 함침 활성탄의 물성 및 미세구조 평가기술 개발ㅇ 가스수명 평가기술 개발",Development of Manufacturing Technique for the Eco-friendly Activated Carbon of Gas Mask,국방과학연구소
335,함정용 설계 및 운용지원시스템 개발,2010-12-13,2013-12-12,민군겸용기술개발,시험개발,(사)한국선급,국방과학연구소,함정 설계;함정 규칙;함정 검사;함정 유지보수,vessel design;naval vessel rule;vessel survey;vessel maintenance,"ㅇ 함정 설계지원시스템(함정규칙) 개발   - 함정(수상함) 전투 성능분야를 제외한 함정 및 탑재장비의 설계, 건조, 검사 및 유지보수 등에 대한 객관적이고 검증이 가능한 기준 및 업무 절차를 규정한 함정 규칙 개발ㅇ 함정 구조설계 지원 시스템 개발   - 복잡한 함정 구조를 효율적으로 설계하고 검토하기 위하여 함정규칙에서 제시하고 있는 각종 구조 계산식을 포함하여 구조해석을 지원하는 함정의 구조 설계 지원 소프트웨어의 개발ㅇ 웹기반 함정규칙 이용 서비스 지원 시스템 개발   - 함정 설계에 사용하는 함정 규칙 및 국제 협약 등 각종 기준을 쉽고 빠르게 검색하기 위하여 웹기반으로 함정규칙의 이용을 지원할 수 있는 웹기반 함정규칙 이용 서비스 지원 시스템 개발ㅇ 검사 및 유지보수 지원 시스템 개발   - 함정 획득 이후 함정 및 탑재 설비의 검사 및 유지보수를 효율적으로 지원하기 위하여 3차원 형상 모델을 기반으로 필요한 정보를 관리하고 저장하며, 함정 검사 및 유지보수가 필요한 때와 장소에 따라 그래픽 환경에서 필요한 정보를 제공할 수 있는 시스템 개발",Development of Naval Vessel Design and Operation Supporting System,국방과학연구소
336,고기능 고성능 복합섬유소재 개발,2011-12-24,2014-03-31,민군겸용기술개발,시험개발,(주)효성,국방과학연구소,탄소섬유;탄소강화수지;프리커서;아크릴섬유,Carbon fiber;CFRP;Precursor;PAN,"ㅇ 당 과제에서 복합섬유는 범용, 중성능, 고성능 복합섬유을 개발하고 개발된 복합섬유을 활용하여 선정된 응용제품을 제작하고 기본 성능 Test을 진행하였음. 예로 국산 복합섬유를 활용하여 산업용 CFRP Roller 및 LCD 이송용 Robot hand bracket에 적용을 위한 제조 기술 확보 및 시제품 적용을 통한 기존 외산소재 제품대비 성능 비교 Test와 CNG 및 수소 저장 고압용기에 대해 내압시험을 통한 팽창량 측정, 파열압력시험, 압력반복시험을 수행하여 기존 해외 탄소섬유로 제작한 제품과 성능을 비교함.ㅇ 복합섬유 응용제품의 평가에 있어서 연구개발의 내용과 범위는 고성능/고기능 복합섬유 응용제품 즉, 건축토목 보수보강용 탄소판, 산업용 CFRP rollers 등의 가혹 및 가속 시험 후의 물성 및 성능 변화 분석 평가와 같은 신뢰성 평가 및 향상 기술 개발과 등방성 복합섬유 부직포 예비성형체 및 복합재료 개발 즉, 가공성 향상 기술 개발과 인장, 굴곡, 충격 등 기계적 물성 측정 같은 기본 성능평가 기술개발을 진행함.ㅇ 군수분야에 있어서는 국산 복합섬유 복합재의 군적용성 및 실용화 기술개발을 위하여 3종류의 군수 품목 즉 F-15K 탄소브레이크 디스크 (CCBD), 수직발사대 화염처리장치 복합재 및 추진기관 탄소-탄소 복합재를 제박함. 기존의 제작공정을 기반으로 준비된 F-15K CCBD의 평가를 위하여 유사 국방규격서, 미 군사규격서 및 항공기 제작사인 보잉 규격서에 따라 소재시험 및 제동성능 시험이 수행 함. 수직발사대용 화염처리 장치 복합재 적용성 및 실용화 기술개발 목적으로 국산 탄소섬유를 이용하여 3종류의 복합재가 제작되었고 니들펀칭으로 제작된 탄소-탄소 복합재가 최종 적용 시험을 위하여 선정 됨. 노즐목 복합재의 경우는 현재 사용되고 있는 수입 탄소섬유와 국산탄소섬유를 적용하여 2종류의 탄소-탄소 복합재를 제작하였고 비교 시험평가가 이루어 짐.",The drvelopment of high functio/performance composite fibers,국방과학연구소
337,네트워크 기반 다목적 견마형 로봇기술 개발,2006-09-29,2009-09-30,민군겸용기술개발,응용연구,국방과학연구소,국방과학연구소,무인화;자율화;원격통제;민.군겸용;감시정찰;다목적,unmanned;remote technology;Multi-Purpose,"ㅇ 야지 및 험지에서 무선 네트워크 기반의 원격감시정찰, 지뢰 탐지 및 물자소송 등의 군수용도와 노약자 및 장애자를 위한 도우미, 물자 이송 기능 등이 가능한 민수용도의 민·군겸용 다목적 견마형 로봇(이하 ""견마로봇"") 시스템/핵심 기술의 개발",Development of Multi-Purpose Dog-Horse Robot based on the Network,국방과학연구소
338,환경친화성 방독면 활성탄의 제조기술 개발,2011-04-01,2013-03-31,민군겸용기술개발,시험개발,한국표준과학연구원,국방과학연구소,환경친화성;방독면;활성탄;제조기술,Eco-friendly;gas mask;Activated Carbon;Manufacturing Technique,"ㅇ 금속(Cu, Zn, Ag, Mo) 및 TEDA 함침 활성탄 제조기술 개발ㅇ 함침 활성탄의 물성 및 미세구조 평가기술 개발ㅇ 가스수명 평가기술 개발",Development of Manufacturing Technique for the Eco-frendly Acrivated Carbon of Gas Mask,국방과학연구소
339,장수명 박막 태양전지 접이식 모듈 개발,2011-10-04,2014-10-30,민군겸용기술개발,시험개발,주성엔지니어링㈜,국방과학연구소,"태양전지, 박막, 접이식, 유연기판, 박막태양전지","Solar cell, Thinfilm, Flexible, TF SC","무전기 예비전원/충전, 관측장비/독립시설/무인화 장비 전원공급장치 등에 사용되는 5년 이상의 수명을 갖는 태양전지 모듈 개발 및 내환경성이 우수한 박막 태양전지 접이식 모듈 개발 접이식 모듈 출력, Flexible기판, Lamination 공정 개선, 신뢰성 확보 - 박막 태양전지 단위셀 설계/제작 - 박막 태양전지 접이식 모듈 설계/제작 - 시험평가 기술""",Development of durable and flexible thin film solarcell modules,국방과학연구소
340,스칸듐함유 미세결정립 고강도 알루미늄합금 압출재 개발,2003-09-01,2006-07-31,민군겸용기술개발,시험개발,국방과학연구소,국방과학연구소,용접성;내식성;스칸듐,weldability;corrosion resistance;scandium,"ㅇ 군수용으로는 무기체계가 난 환경에서 생존하기 위해서는 구조체가 견고하여야 하나 철강소재는 너무 무거워 기동성이 저하되므로 경량화가 요구되며 또한 강성이 있어야 하므로 알루미늄합금이 적합하나 기존의 알루미늄 압출재는 인장강도가 낮고 용접부의 강도와 연성이 부족하여 하중을 많이 받는 전투차량의 동체구조재료로 사용함에 문제가 있다. 전투 차량의 동체재료로 방탄성이 우수한 2519T87합금판재가 주 방탄재료로 사용됨에 따라 이에 따른 기본 골격인 압출재도 용접성이 우수하고 고강도, 고내식성 및 압출성이 우수한 2000계 합금 압출재의 개발이 요구되고 있으나 선진국에서는 이러한 소재들은 국방관련 특수방산 부품소재로 구분하고 기술적 내용의 정보노출을 철저하게 제한하고 있어 상용으로 구매가 불가하여 스칸듐 함유 고강도, 고용접성, 고연성, 고내식성 알루미늄합금 압출재의 개발을 해외에 의존할 수 없는 실정이다. 또한 병사들의 기본화기인 소총 몸체 재료로 개발하려고하는 스칸듐 함유 7000계 알루미늄 신합금은 초고강도화 뿐아니라 사용환경에서 내식성을 요구하고 있다. 요구하는 소총 몸체개발을 위해서는 Sc함유 화합물 정출상의 분산강화 및 석출경화 를 극대화하기위한 스칸듐 함유 7000계 알루미늄 신합금 설계, 제조공정기술개발(용해, 주조, 압출, 단조), 최적열 처리기술(균질화처리, 용체화처리, 시효처리)개발 및 특성평가 기술(계장화 충격특성, 파괴인성, 인장특성, 용접설계변수 변화에 따른 다양한 용접성평가, SCC 및 EXCO 등의 내식성평가, 내피로특성평가, 형상변화에 따른 압출 및 단조 성형성 연구 및 DB화, Analytical SEM 및 고분해능 TEM을 이용한 미세 조직 평가)의 개발이 필요하다. 또한 민수용으로는 자동차부품 및 차량용 압출재 및 레져용품에 7000계 고강도합금뿐 아니라 5000계 및 6000계 합금이 주로 사용되는데 일반 압출성형에서는 금형과 재료의 마찰로 인해 제품 표면에 입자조대화 현상이 발생하여 최종 제품의 품질이 하락하는 경향이 발생한다. 특히 얇은 두께가 앏은 알루미늄합금 tube의 경우 열간 압출성 부족으로 인해 그 심각성이 대두되고 있다. 이러한 문제는 Sc함유 미세결정립 고강도 알루미늄합금을 간접 복동 압출 방식을 이용한 압출재로 해결할 수 있기 때문에 국내개발필요성이 대두되고 있다.",Development of scandium bearing high strength aluminum extrusions with fine grain,국방과학연구소
341,고성능 휴대용 은닉 Devices의 탐지 기술개발,2011-09-21,2013-09-20,민군겸용기술개발,시험개발,(주)한썸,국방과학연구소,은닉장비;탐지기;레이더,concealed device;detector;radar,"ㅇ 정밀한 전자파 송수신 센서, 수신자료 분석 알고리즘 및 광대역 안테나에 대한 핵심 기술 개발 등을 통하여 고성능 휴대용 은닉 Device에 대한 탐지기술 및 장비를 개발하는 것이다.",Development for Concealment Electronic Device Detector,국방과학연구소
342,항공우주용 부품 초소성 성형 및 소소성/확산 접합기술 개발,2004-10-01,2007-11-30,민군겸용기술개발,응용연구,한국항공우주연구원,국방과학연구소,항공;우주;초소성,T-50;SPF;DB;Aerospace Application;Superplastic,ㅇ 초소성 성형/확산접합 성형용 장비시스템 및 금형설계 기술ㅇ 초소성 성형/확산접합을 이용한 Multi-sheet 일체화 성형 Process 기술ㅇ SPF/DB 부품을 위한 설계기술 개발ㅇ 실용화 부품 시계개발 및 시험 평가 및 성능평가 기술,Development of Superplastic Forming/Diffusion Bonding Technology for Aerospace Application,국방과학연구소
343,항공우주용 부품 초소성 성형 및 소소성/확산 접합기술 개발,2007-01-01,2010-12-31,민군겸용기술개발,시험개발,한일단조공업(주),국방과학연구소,항공;우주;초소성,T-50;SPF;DB;Aerospace Application;Superplastic,ㅇ 응용연구 단계 구축장비를 바탕으로 양산용 설비로의 개조ㅇ 양산화를 위한 SPF/DB 기술의 효율성 향상ㅇ 최소 군수용 및 민수용 부품 각 1종 이상의 시제품 개발ㅇ 개발 시제품의 시험평가ㅇ 양산용 제조공정 확립,Development of Superplastic Forming/Diffusion Bonding Technology for Aerospace Application,국방과학연구소
